Cliente_Id;Sexo;Estrato;Segmento;Rango de ingresos;Nivel de estudio;Estado civil;Departamento;Edad;Hijos  ;Franquicia;Canal: Presente/No presente;Origen: Nacional /Internacional;Monto transado;Reclamos realizados;cnt_trx_201706;cnt_trx_201707;cnt_trx_201708;cnt_trx_201709;cnt_trx_201710;cnt_trx_201711;cnt_trx_201712;cnt_trx_201801;cnt_trx_201802;cnt_trx_201803;cnt_trx_201804;cnt_trx_201805;cnt_trx_201806;cnt_trx_201807;cnt_trx_201808;cnt_trx_201809;cnt_trx_201810;cnt_trx_201811;cnt_trx_201812;cnt_trx_201901;cnt_trx_201902;cnt_trx_201903;cnt_trx_201904;cnt_trx_201905;cnt_trx_201906
16417811;M;-1;-1; 5,550,000 ;-1;S;-1; 16 ;0;1;P;Nacional;36,880,460; 2 ;6;6;1;5;1;1;3;1;1;3;3;3;1;5;3;4;5;3;4;;2;3;4;4;2
43963542;-1;-1;-1; 5,400,000 ;-1;-1;-1;-1 ;?;1;P;Nacional;7,774,516; 2 ;2;2;4;12;5;9;12;5;9;12;8;8;7;7;6;4;12;4;6;12;12;12;3;9;3
5733253;-1;-1;-1; 4,500,000 ;-1;-1;-1;-1 ;?;1;P;Nacional;1,460,748; 2 ;9;8;4;7;9;9;31;60;46;40;29;20;11;13;10;19;12;10;7;30;10;20;9;10;16
33278984;M;-1;-1; 7,500,000 ;-1;-1;-1; 42 ;?;1;P;Nacional;5,400,222; 2 ;1;2;2;5;;;1;3;1;;6;3;3;3;;;;8;4;2;5;1;5;;
22594426;F;-1;-1; 18,000,000 ;-1;-1;-1;-1 ;?;1;P;Nacional;68,768,362; 2 ;2;2;2;6;4;1;3;1;1;2;2;2;3;1;1;1;2;12;2;2;1;2;2;2;1
11909868;-1;-1;-1; 5,100,000 ;-1;-1;-1;-1 ;0;1;P;Nacional;16,238,163; 2 ;2;1;2;;3;;8;1;;1;1;;;4;1;;3;2;2;1;;5;2;;3
39455599;M;-1;-1; 18,750,000 ;-1;-1;-1; 59 ;?;1;P;Nacional;12,882,149; 2 ;17;43;13;28;38;48;32;36;41;36;62;53;53;54;53;56;62;11;2;1;1;1;9;1;
19665145;F;-1;-1; 21,000,000 ;-1;-1;-1; 50 ;?;1;P;Nacional;28,232,694; 2 ;19;107;72;43;57;68;66;51;58;52;52;60;84;67;62;72;12;49;20;4;2;3;7;27;4
47210876;-1;-1;-1; 21,000,000 ;-1;-1;-1; 35 ;?;1;P;Nacional;9,104,580; 2 ;2;1;2;;;4;1;2;1;1;3;7;4;3;1;2;3;3;3;3;2;2;2;4;5
8980587;M;-1;-1; 6,750,000 ;-1;-1;-1;-1 ;0;1;P;Nacional;8,890,174; 2 ;21;4;6;12;15;14;7;6;11;15;5;10;11;18;10;12;13;13;17;15;10;1;;;
36526318;F;-1;-1; 18,000,000 ;-1;-1;-1; 59 ;?;1;P;Nacional;13,051,773; 2 ;3;1;1;1;1;1;1;2;2;2;2;2;2;3;3;3;17;3;4;4;4;3;3;3;2
25841760;-1;-1;-1; 18,000,000 ;-1;-1;-1;-1 ;?;1;P;Nacional;19,900,450; 2 ;1;2;1;4;2;4;3;;;;;;;;;;;;;;;;;;
15157202;M;3;1; 33,000,000 ;-1;-1;-1; 61 ;0;1;P;Nacional;29,599,205; 2 ;5;5;4;1;10;1;6;11;10;1;;4;2;4;3;8;;2;;;;;;;5
42702933;-1;-1;-1; 4,500,000 ;-1;-1;-1;-1 ;?;1;P;Nacional;14,389,106; 2 ;2;1;1;5;1;1;1;3;;;;;;;;;;1;;;;;;;
4472644;F;-1;-1; 3,600,000 ;-1;-1;-1;-1 ;0;1;P;Nacional;292,787; 2 ;4;3;8;2;6;2;8;2;9;3;6;3;3;1;3;5;1;;;;;;;;
32018375;F;1;1; 21,000,000 ;-1;-1;16310; 33 ;?;1;P;Nacional;16,245,831; 2 ;50;22;27;18;19;15;15;21;30;17;22;26;25;52;32;38;30;19;18;10;32;15;55;32;16
21333817;-1;-1;-1; 15,000,000 ;-1;-1;-1;-1 ;?;1;P;Nacional;3,578,021; 2 ;13;21;21;34;19;25;26;4;36;32;8;10;16;12;;;;;;;2;;;;
48879548;-1;-1;-1; 28,500,000 ;-1;-1;-1;-1 ;?;1;P;Nacional;1,165,690; 2 ;12;21;6;10;11;44;;5;5;1;4;4;5;3;2;7;19;10;20;13;16;14;28;23;30
10649259;M;-1;-1; 36,000,000 ;-1;S;-1; 41 ;0;1;P;Nacional;2,100,534; 2 ;12;11;3;5;13;10;9;6;15;5;;5;;2;;;2;1;1;4;5;1;8;;
38194990;M;-1;-1; 3,600,000 ;-1;-1;-1; 29 ;?;1;P;Nacional;7,256,062; 2 ;11;6;6;7;9;5;6;;;;;;;1;3;8;5;;;;;;;;
27510432;M;-1;-1; 27,000,000 ;-1;-1;-1; 52 ;?;1;P;Nacional;49,210,669; 2 ;3;1;1;1;;3;1;;;;2;2;2;;;1;;;;;;;;;
16825874;F;-1;-1; 49,500,000 ;-1;-1;-1; 57 ;?;1;P;Nacional;12,752,294; 2 ;3;8;2;5;7;4;6;5;3;4;3;4;4;5;;;;;;;;;;;
44371605;F;-1;-1; 33,000,000 ;-1;S;-1; 21 ;0;1;P;Nacional;45,898,739; 2 ;22;19;20;26;38;19;8;1;;;;;;;;;;;;;;;;;
6141316;-1;-1;-1; 40,500,000 ;-1;-1;-1;-1 ;?;1;P;Nacional;30,215,758; 2 ;2;15;6;14;9;17;19;20;20;8;5;3;25;27;37;;;1;;;;3;;;
33687047;M;-1;-1; 13,500,000 ;-1;-1;-1; 34 ;?;1;P;Nacional;10,738,449; 2 ;6;8;14;13;20;17;13;5;16;13;3;3;5;17;15;9;25;23;9;15;19;20;12;12;10
23002489;F;4;2; 19,500,000 ;-1;-1;-1; 29 ;?;1;P;Nacional;15,022,056; 2 ;10;5;5;6;5;15;4;5;4;10;7;9;9;9;6;41;4;23;7;4;5;11;12;6;8
12317931;-1;-1;-1; 27,000,000 ;-1;-1;-1;-1 ;0;1;P;Nacional;64,094,963; 2 ;3;3;1;2;;;1;1;1;2;1;1;1;5;2;2;1;1;2;1;1;1;1;1;1
39863662;-1;-1;-1; 12,000,000 ;-1;-1;-1; 28 ;?;1;P;Nacional;30,564,250; 2 ;4;4;11;10;7;8;16;7;9;12;6;5;10;4;4;5;9;9;3;5;3;4;3;8;4
1633373;-1;-1;-1; 5,400,000 ;-1;-1;-1;-1 ;?;1;P;Nacional;4,408,404; 2 ;2;6;1;2;;22;12;;1;;15;3;20;3;3;;2;;16;57;;;;;
29179104;-1;-1;-1; 7,200,000 ;-1;-1;-1;-1 ;?;1;Ninguno;Ninguno;0; 2 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18494546;F;-1;-1; 7,200,000 ;-1;-1;-1; 60 ;?;1;Ninguno;Ninguno;0; 2 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
46040277;M;-1;-1; 3,600,000 ;-1;-1;-1;-1 ;?;1;P;Nacional;1,518,237; 2 ;7;4;1;1;2;4;1;2;2;;;2;4;2;2;;2;1;1;2;1;2;13;6;6
7809988;F;2;-1; 18,000,000 ;-1;S;-1; 43 ;0;1;P;Nacional;4,171,285; 2 ;21;26;10;8;16;8;2;;20;18;18;12;21;4;4;;17;;;23;2;36;4;20;14
19315770;F;-1;-1; 12,000,000 ;-1;-1;-1; 50 ;?;1;Ninguno;Ninguno;0; 2 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
46861501;M;-1;-1; 21,000,000 ;-1;-1;-1;-1 ;?;1;P;Nacional;2,178,202; 2 ;7;5;5;;;;;;;2;;;;;;;;;;;;;;;
8631212;M;1;1; 9,000,000 ;-1;-1;-1; 51 ;0;1;P;Nacional;1,380,214; 2 ;2;5;8;11;5;4;7;5;65;9;4;6;3;1;1;1;;;;;;;;;
36176943;-1;-1;-1; 4,500,000 ;-1;-1;-1;-1 ;?;1;P;Nacional;264,879; 2 ;2;4;2;2;;1;1;;;1;;;;;;;;;;;;;;;
25492385;M;-1;-1; 6,000,000 ;-1;-1;-1; 36 ;?;1;P;Nacional;7,121,492; 2 ;9;1;2;3;2;;;;;;;;;;;;;;;;;;;;
14807827;-1;-1;-1; 17,100,000 ;-1;-1;-1;-1 ;0;1;P;Nacional;91,727,884; 2 ;5;2;2;1;1;6;1;2;1;6;2;2;4;5;8;6;4;5;8;9;17;10;16;10;10
42353558;F;-1;-1; 13,500,000 ;-1;-1;-1; 60 ;?;1;Ninguno;Ninguno;0; 2 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4123269;F;-1;-1; 12,000,000 ;-1;S;-1; 45 ;2;1;P;Nacional;22,368,903; 2 ;1;1;1;;1;2;;2;1;7;2;1;;;;;;;;;;;;;
31669000;-1;-1;-1; 12,000,000 ;-1;-1;-1;-1 ;?;1;P;Nacional;5,327,417; 2 ;15;6;7;8;9;5;6;5;10;19;19;6;2;6;10;6;12;9;3;4;11;9;16;29;39
20984442;-1;-1;-1; 7,500,000 ;-1;-1;-1;-1 ;?;1;P;Nacional;1,097,789; 2 ;10;14;9;5;10;12;;4;2;12;4;2;;;;1;;;;;;;;;
48530173;F;-1;-1; 24,000,000 ;-1;-1;-1; 56 ;?;1;P;Nacional;12,415,380; 2 ;25;14;13;26;53;36;18;11;;;;;3;;;;;;;;;;;;
37845615;M;0;1; 6,000,000 ;-1;S;-1; 10 ;0;1;P;Nacional;5,770,504; 2 ;1;6;4;2;6;9;2;;;;;;;;;;;;;;;;;;
27161057;-1;-1;-1; 27,000,000 ;-1;-1;-1;-1 ;?;1;P;Nacional;10,857,943; 2 ;1;2;2;2;1;4;2;;;;;;;;;;;;;;;;;;
16476499;M;-1;-1; 16,500,000 ;-1;S;-1; 12 ;?;1;P;Nacional;8,589,767; 2 ;7;11;10;3;13;10;3;;;;;;;;;;;;;;;;;;
44022230;M;-1;-1; 12,600,000 ;-1;-1;-1; 5 ;?;1;Ninguno;Ninguno;0; 2 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5791941;-1;-1;-1; 25,500,000 ;-1;-1;-1;-1 ;?;1;P;Nacional;15,094,232; 2 ;2;12;10;12;10;9;18;21;8;14;9;6;42;15;11;11;19;17;21;18;17;6;;;
33337672;M;-1;-1; 21,000,000 ;-1;-1;-1; 41 ;?;1;P;Nacional;1,277,768; 2 ;64;40;9;16;2;4;1;;;;;;;;;1;;;;3;2;;1;;
22653114;M;-1;-1; 15,000,000 ;-1;-1;-1; 38 ;?;1;P;Nacional;18,842,278; 2 ;13;20;10;9;3;6;12;9;11;19;17;17;18;20;12;6;2;2;3;4;3;2;3;2;2
