Cliente_Id;Sexo;Estrato;Grupo_valor;Rango_ingresos_acum;Nivel_estudio;Estado_civil;Departamento;Edad;Franquicia;canal;origen;Monto_transado;Reclamos;cnt_trx_201706;cnt_trx_201707;cnt_trx_201708;cnt_trx_201709;cnt_trx_201710;cnt_trx_201711;cnt_trx_201712;cnt_trx_201801;cnt_trx_201802;cnt_trx_201803;cnt_trx_201804;cnt_trx_201805;cnt_trx_201806;cnt_trx_201807;cnt_trx_201808;cnt_trx_201809;cnt_trx_201810;cnt_trx_201811;cnt_trx_201812;cnt_trx_201901;cnt_trx_201902;cnt_trx_201903;cnt_trx_201904;cnt_trx_201905;cnt_trx_201906;Total_trx
16267523;F;6;Alto;9000000;Especializacion;CASADO;ANTIOQUIA;39;MASTER;P;Nacional;8935865;3;2;1;3;2;3;4;1;4;2;3;6;4;2;5;6;6;5;5;3;6;6;5;4;6;4;98
25254228;M;6;Alto;9000000;Maestria;CASADO;BOGOTA D.C.;39;AMEX;Ninguno;Ninguno;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36404456;F;5;Alto;9000000;Pregrado;CASADO;BOGOTA D.C.;39;VISA;I;Nacional;36909049;2;1;5;10;2;2;5;6;1;2;5;3;12;4;9;6;11;6;20;7;10;0;0;0;0;0;127
43176597;F;5;Alto;7500000;Especializacion;CASADO;BOGOTA D.C.;39;VISA;P;Nacional;14939200;2;3;1;4;1;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21
19502112;M;4;Alto;7500000;Especializacion;CASADO;ANTIOQUIA;39;VISA;P;Internacional;27934873;3;8;4;2;3;3;10;6;4;4;4;5;4;8;4;5;7;6;5;5;5;4;5;9;10;5;135
43368689;M;5;Alto;7500000;Maestria;SOLTERO;BOGOTA D.C.;39;VISA;P;Nacional;1926319;2;4;3;4;2;5;2;0;0;0;1;1;2;2;1;2;2;1;3;8;1;3;17;2;14;7;87
42146254;F;5;Alto;7500000;Especializacion;SOLTERO;ANTIOQUIA;39;MASTER;P;Nacional;12053665;3;4;9;11;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26
10747385;F;4;Alto;7500000;Maestria;CASADO;BOGOTA D.C.;39;VISA;P;Nacional;25507995;2;1;1;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
6285793;M;5;Alto;7200000;Pregrado;SOLTERO;BOGOTA D.C.;39;VISA;I;Nacional;3142727;2;2;1;7;0;0;1;4;7;1;5;2;1;4;2;3;1;3;4;1;1;1;0;0;4;2;57
18183610;F;6;Alto;6600000;Maestria;DIVORCIADO;BOGOTA D.C.;39;AMEX;I;Nacional;13123756;2;13;4;1;0;0;0;9;0;14;15;13;11;11;24;10;8;8;9;33;12;115;2;0;0;0;312
